id	x	y	cluster	weight<Links>	weight<Total link strength>
1259	1.1107	0.4338	1	4534	197.8614
126	0.8092	-0.3173	1	4534	747.5709
1260	-0.7638	0.1574	3	4534	166.8181
1261	0.8624	0.3541	1	4534	268.481
1262	1.0732	-0.3556	1	4534	562.4707
1263	-0.773	-0.0128	3	4534	479.4358
1264	0.7943	-0.527	1	4534	447.5689
1265	-0.7255	-0.2367	2	4534	592.4677
1266	0.5483	0.1	5	4534	132.9324
1267	-0.5743	0.3091	3	4534	395.3193
1268	-1.0283	0.0589	3	4534	338.9567
1269	0.0455	-0.2351	2	4534	791.0634
127	0.5348	0.083	5	4534	155.6176
1270	1.1424	0.122	1	4534	319.5468
1271	0.6661	0.1683	5	4534	145.3547
1272	0.841	0.0811	1	4534	211.9692
1273	-0.0342	0.6324	4	4534	113.2945
1274	-0.7631	-0.081	3	4534	884.9228
1275	0.439	0.2517	4	4534	243.5488
1276	-0.8432	-0.342	2	4534	880.3596
1277	-0.4291	-0.3722	2	4534	975.9482
1278	-0.5172	-0.4384	2	4534	921.3682
1279	0.135	-0.0496	5	4534	418.855
128	1.1241	-0.3304	1	4534	610.2018
1280	0.4975	0.4945	4	4534	179.3704
1281	-0.357	0.5361	4	4534	165.4455
1282	1.1445	0.0793	1	4534	241.1411
1283	0.0956	0.0906	5	4534	470.2183
1284	0.9147	0.1323	1	4534	138.3271
1285	-0.3608	-0.0319	3	4534	433.8571
1286	1.0993	0.4602	1	4534	184.3197
1287	0.2573	-0.5666	1	4534	572.6557
1288	1.1561	-0.0868	1	4534	357.351
1289	0.2232	-0.0378	5	4534	344.8061
129	-0.2478	0.563	4	4534	120.907
1290	0.4333	0.0363	5	4534	190.7603
1291	0.9488	-0.3526	1	4534	625.7771
1292	-0.0247	0.6103	4	4534	127.1893
1293	-0.6387	0.2118	4	4534	530.8889
1294	0.1927	-0.1159	5	4534	377.8967
1295	0.4069	0.0675	5	4534	131.5738
1296	1.1605	0.493	1	4534	142.2232
1297	0.0823	-0.0339	5	4534	230.6847
1298	0.8086	0.3592	1	4534	249.7401
1299	-0.7121	0.3469	3	4534	197.0675
13	0.9952	-0.3125	1	4534	610.4185
130	-0.6352	0.3512	4	4534	365.5304
1300	1.104	-0.3083	1	4534	532.3059
1301	1.1758	0.4955	1	4534	137.24
1302	-0.2901	-0.1531	5	4534	587.201
1303	-0.0622	0.6555	4	4534	90.3374
1304	0.9391	0.3732	1	4534	197.0213
1305	-0.6347	0.3407	3	4534	94.5737
1306	-0.9354	0.1533	3	4534	428.0967
1307	-0.9373	-0.2158	3	4534	700.6341
1308	0.7378	-0.4012	1	4534	588.7543
1309	1.1179	0.4536	1	4534	176.2977
131	-0.5959	0.4315	4	4534	245.3363
1310	1.057	0.309	1	4534	241.0739
1311	1.1162	0.0747	1	4534	236.3676
1312	0.3865	0.0014	1	4534	601.1407
1313	0.541	-0.2638	1	4534	673.8437
1314	-0.2663	-0.3023	5	4534	277.7312
1315	-0.0536	0.6417	4	4534	64.1732
1316	1.1753	0.498	1	4534	131.7014
1317	-0.9007	0.0096	3	4534	210.9828
1318	0.5502	0.2029	1	4534	283.4719
1319	0.7373	0.0438	1	4534	268.9713
132	1.141	0.1737	1	4534	101.6982
1320	1.0298	0.3335	1	4534	224.3165
1321	0.8426	-0.3846	1	4534	718.1738
1322	-0.5281	-0.2213	2	4534	519.4307
1323	1.0372	0.1303	1	4534	163.8019
1324	-0.9018	-0.0212	3	4534	484.6673
1325	0.1062	0.3722	4	4534	265.8164
1326	-0.6431	-0.032	3	4534	821.1385
1327	-0.7979	0.2449	3	4534	380.3453
1328	0.0661	-0.521	2	4534	697.88
1329	-0.4699	-0.2049	2	4534	855.8909
